review_content,sentiment
there were;no heating related issues.no fast battery drain.no change in the charging time.no annoying bugs.no change in camera performance.beta update is mostly like a stable update.oos 13 (android 13) update review:delighters:> no new apps added. absolutely not.> system storage consumption remains the same (13.2 gb).> animations are more fluidic.> more customization ui features added. (scout widgets in home screen,positive
there were;no heating related issues.no fast battery drain.no change in the charging time.no annoying bugs.no change in camera performance.beta update is mostly like a stable update.oos 13 (android 13) update review:delighters:> no new apps added. absolutely not.> system storage consumption remains the same (13.2 gb).> animations are more fluidic.> more customization ui features added. (scout widgets in home screen,positive
there were some wind noises reportedly. but still does the job.+ buttons: works well. haven't noticed any niggles thus far.cons:- definitely not recommended for audiophiles as there's no distinction between highs,neutral
there was no bill or any label inside d parcel,positive
there was cable burning smell,neutral
there should be a fan speed control option.,positive
there is zero problem if you use costly duracells. still,neutral
there is some disturbance in the sound while using wireless fm,positive
there is some disturbance in the sound while using wireless fm,positive
there is nothing to dislike about this product,positive
there is no way you will be able to get it back to factory settings,positive
there is no way you will be able to get it back to factory settings,positive
there is no way you will be able to get it back to factory settings,positive
there is no timer or power button to set timer or to on and off the toaster. its a good product otherwise.,positive
there is no reason for this to malfunction. there is also no recourse available to me,neutral
there is no need to get display with high resolution,positive
there is no mic option and few buttons were messed up,neutral
there is no mention that it supports 60w. belkin support in q/a section says it supports only 15w. needs to be investigated if it really is fast charging or not. scummy behaviour from belkin to not specify such a basic spec.belkin.com/us/cables/charging/boost-charge-usb-c-to-usb-c-cable/p/p-cab003/,positive
there is no mechanism to know the temperature which is being set by rotating the temperature setting knob. you simply have to guess initially and then wait and do trial and error as the temperature starts increasing slowly. it's a slow process and you can't get the right temperature in one go!digital display of temperature setting may be added.this is a general problem- i didn't find digital display in any brand. this can easily become a differentiating feature.this will be particularly very useful for elderly people.in today's time when electronics is everywhere,positive
there is no difference in the shade of greens,positive
there is just that much i can attest.,neutral
there is a separate chutney jar and smoothie jar for efficient usage,positive
there is a delay between writing and also i get wrong color i ordered bluse and i get gray,neutral
there is a delay between writing and also i get wrong color i ordered bluse and i get gray,neutral
there is a delay between writing and also i get wrong color i ordered bluse and i get gray,neutral
there are two more... looks fine waiting for durable report,positive
there are speed settings. decent product for this price range.,neutral
there are some improvements in the design from the original one,neutral
there are small scratches on the back apart for that the product is good.,positive
there are multiple issues for it,positive
there are folds when i have received the product. i am writing this review after using it for 2.5 months. it's working fine. there is no wear and tear as of now. as per look it looks good on my black table. you can just put keyboard and mouse on it. nothing much can be placed. grip to the table is also really good,positive
there are few scratches here and there making me unhappy.compared its performance with other induction cook top that i have (with same amount of water at same temperature in the same vessel).sadly this cook top is a tad slow to boil compared to the old one.but,neutral
then you will get replacement easily.@ if you didn't choose installation,positive
then you should compare it with poco c31,positive
then you should compare it with poco c31,positive
then you should compare it with poco c31,positive
then this one is for you. it's actually well made and the colour options are pretty catchy. i basically wanted some no silicon tips wired earphones for laptop& cell phone calling. didn't want to pay more than necessary when i saw these for 200/- grabbed them cause i saw some pretty good reviews and honestly they are good for the money. love the design. the volume buttons work. good for casual music sessions. mic is good too.,neutral
then this is your product,positive
then they found that it was a problem with the pcb they changed it,neutral
then the voice is clear.initially thought it was an issue of a particular product. so returned the phone & got a new one.however the new one also has this. have tried some methods to rectify this including switching off the volte . till now this issue has not cropped up yet thankfully.2) no notepad.come on,neutral
then please,positive
then just shoot the video of unboxing by yourself,positive
then it's a steal deal..also in regular price b/w 1299-1499 it's a good product..sound quality is good. enough loud at 50-60% volume. bass is also ok. whenever needed it produces punchy bass. overall balanced.mic quality is good in indoor condition,neutral
then it will justify.,positive
then it started becoming more and more useless. don't buy it. it looks alright but it is as bad as a local cable. my phone charges slowly,positive
then it should have some content. what it does,positive
then it is not useless at all,positive
then it is not useless at all,positive
then it is not useless at all,positive
then it goes off. (after 1st charge the case has 48% battery left,neutral
then i have fear because acer tv is new brand and if any problem with tv serving. but after purchased and  using my fear was goes. because tv functions is good. and warranty also available.,positive
then i have fear because acer tv is new brand and if any problem with tv serving. but after purchased and  using my fear was goes. because tv functions is good. and warranty also available.,positive
then i decided to try once more with amkette.to my delight,positive
then do not unbox the tv until mi representative arrives.this ensures,positive
then 3 rd time it goes to 0%)they mentioned earbuds have 40 mah battery each,neutral
their will be weird thumping sound like some stone got stuck inside the water purifier.the other problem you may find is less water purification (maybe less than 2 litte per hour) and the water taste like cough syrup.,positive
theek hi h,neutral
theek hai,positive
theek hai,positive
theek hai,positive
the worst service given by amazon,neutral
the wireless mouse  is working well. there is one problem. those who start using the mouse have to switch on  and they should  switch off  when their work over. if they forget to switch off( which can happen to many users) the battery may get drained. the manufacturer should  find another method  in the place of the on/off switch.,positive
the wire worked fine for 1.5 months then started problems. for a few days,neutral
the wire quality is good and overall a not bad cable,positive
the wifi dongle is a simple plug & play device,positive
the wifi dongle is a simple plug & play device,positive
the wifi dongle is a simple plug & play device,positive
the wifi adapter is working well as of now. it has a cd for installation. however,neutral
the whole day during office hours,positive
the whole day during office hours,positive
the weight. the only con is that it can be a little shaky if you use it on the bed.,neutral
the warranty period of 6months is too short for such an item.,positive
the volume control buttom is way to hard to operate must be a little smoother....,neutral
the video is slight zoomed in,neutral
the usb cable was useless. after logging in this cable,positive
the tv is great at this purchase price. sony tvs are generally very adaptive. colour and picture qualty is really good. sound is nice as well. would however advise to use external speakers with a tv of such size.,positive
the travel is incredible (especially when youre coming from an ultrabook keyboard).packaging: no cover. nothing. just the box,positive
the top most amazing feature is it makes pictures look like the old 80s.. but one problem is few dont develop at all.,positive
the tempered is nice and easy to install. the adhesion could be better.,positive
the tempered glass looks solid and protective.it was difficult to align the glass however. the film protecting the tempered glass is black opaque. you cant see whether the ear opening aligns with the phones ear piece. you can only guess. it can be made transparent for better accuracy.,positive
the television is good but the installation service is pathetic first of all they did not contact us till 2 days after the tv delivery and we got frustrated and call lg customer service and they accepted our problem and send a technician after 2 hours and while installing the mount he installed 3 bolts successfully but he broke the last bolt and we asked him will it not cause a problem in future he said it wouldn't but we don't really believe him.,positive
the television is good but the installation service is pathetic first of all they did not contact us till 2 days after the tv delivery and we got frustrated and call lg customer service and they accepted our problem and send a technician after 2 hours and while installing the mount he installed 3 bolts successfully but he broke the last bolt and we asked him will it not cause a problem in future he said it wouldn't but we don't really believe him.,positive
the tablet is nice.no latency and writes very well.not a lot of scratches good quality tablet and overall a very nice experience.good for beginners for learning,positive
the table rolls over on the slightest nudge,neutral
the table is lightweight and less durable but it serves it's purpose.it's a good product for its price don't expect too much.,neutral
the tab/phone holder is not useful ...phone/tab holder doesn't give an angular slant for clear view...it also has a small diameter that could not hold broad tab or phone..,positive
the support was great the issue was resolved immediately.,positive
the suction power of the vaccum cleaner is really good only drawback is that after using it for some time i observed that the suction hose is leaking the air which is making a whistling sound. i tried reaching out the customer service and they informed me that the whistling sound when using the blower mode is quite normal. the outer container is made of steel and is of good quality. when i received the product i observed a dent in the body.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,positive
the steel around the handle gets hot too! other than that this product is good.,positive
the steam sanitises the clothes making them odour free.the water tank is small and needs to be re-filled again after about 2 clothes but bigger tank would have made it heavy and difficult to operate.overall,positive
the steam is somewhat better than philips as the user has used philips also but as compared it should have been price competitive.well - yes,neutral
the stand's quality is decent. beacuse of its compact size and various folding angles it widens the usage according to the user. highly recommended for students !,positive
the stand is okay for the price. doesnt look very fine,positive
the stand is not suitable for 50inch and above.,positive
the speed was 56mbps,positive
the speaker's sound is good and all the other feature are also at the best. the only problem is the battery backup it's normally about 5hr,positive
the spare disk was missing.,neutral
the spare disk was missing.,neutral
the spare disk was missing.,neutral
the sound quality while gaming is fine,positive
the sound quality was next level,neutral
the sound quality okay,neutral
the sound quality is great .. all the treble highs and mids are great but the bass is kinda okay okay...,positive
the sound quality is good,neutral
the sound quality is excellent for the price,positive
the sound quality is excellent for the price,positive
the sound quality is amazing but you have to be very careful while using it as the wire from the earplugs to the controller seems very delicate. one negative point is that the noise cancellation sucks.,positive
the sound quality at this price is unbelievable. the colour changing lights at first might be distracting but you get used to it and it works beautifully with both,positive
the sound is very low so it needs to be inserted 3/4 only & in that way full maximum sound coming,neutral
the sound is very low so it needs to be inserted 3/4 only & in that way full maximum sound coming,neutral
the sound is just like other boat eraphones i've tried,positive
the sound is awesome as i recommend this for music purpose as it has medium base but rest of all its awesome,positive
the slight rubbery texture feels premium and the build quality is also amazing,positive
the size is sufficient and may be a bit large for single person usage. one suggestion is that a temperature control knob could have been provided in this price range. otherwise a very good product. finish is excellent.,positive
"the size is little big for my 15"""" laptop keyboard",neutral
the size is alright,positive
the silver color is much better compared to stainless steel finish. lov my coffee made in this! this should be advertised as suited for 4 cups not 6.,positive
the signal is too unstable once connect you need a bit of adjustment by unplugging or moving the wire to get a proper signal. but does the job. go for this if you want to experiment with hdmi as i wasn't sure it would work for me or not. otherwise go for a good quality breaded cable.,positive
the signal is too unstable once connect you need a bit of adjustment by unplugging or moving the wire to get a proper signal. but does the job. go for this if you want to experiment with hdmi as i wasn't sure it would work for me or not. otherwise go for a good quality breaded cable.,positive
the signal is too unstable once connect you need a bit of adjustment by unplugging or moving the wire to get a proper signal. but does the job. go for this if you want to experiment with hdmi as i wasn't sure it would work for me or not. otherwise go for a good quality breaded cable.,positive
the shape does not fit where i want to get it installed. i want the round one. can i get it exchanged or returned please?,positive
the sequential read speeds for a 8gb video file (after reformatting to exfat file system) were 157mbps constant for a 8.7gb video filenote- the computer being used for testing has a pcie nvme ssd and a fairly modern and powerful cpu,positive
the seller needs to add some more decent photos of the product (first time i searched for it and landed on this one,positive
the seller is very good and quickly replaced it for a new one. go for bassheads 242 if you are spending this much. they are charging more for the metal enclosure and the braided cable. the angled jack is a plus but the sound quality is so-so. infinity zip 100 and their own bassheads 242 are way better for sound.,positive
the seller is giving 7 days return policy enough to test the catridge,positive
the selfie stick is made up of cheap quality plastic.however the built structure of the selfie stick is stable and even the tripod stand will provide you ample support to make a video  time lapse or a portrait selfie.recommended to all video bloggers who have just started their channels on youtube or any other sites.its worth a product with the money we are paying to purchase it.,positive
the selfie stick is made up of cheap quality plastic.however the built structure of the selfie stick is stable and even the tripod stand will provide you ample support to make a video  time lapse or a portrait selfie.recommended to all video bloggers who have just started their channels on youtube or any other sites.its worth a product with the money we are paying to purchase it.,positive
the second cable is working fine,positive
the second cable is working fine,positive
the second cable is working fine,positive
the screw required for installation is missing,neutral
the screen is va type,positive
the screen is va type,positive
the screen guard is very easy to install. spigen is time tested brand. you get everything in the pack for easy installing. there is a video available as and it's very simple process as well.,positive
the scan code is too small for configuration. sometimes two way communication has few echo sound which becomes little irritating. as the title suggests it's a good product but could have been better as it is competing with several brands which are known in the market for their other products.,positive
the sandwiches come out very crisp. works well,neutral
the sand stays back no matter which lead you use.,neutral
the same brand,positive
the rubber around buttons got loose within months.,positive
the rpm and air throw are good better than festiva and other models,positive
the router won't turn on,positive
the roller and the frame is loosely tied and cuts hand every time i use. the whole roller disassembles quickly while in use. the adhesion is not very good and finishes when rolled 2-3 times.,neutral
the roll has different layers,neutral
the rod is good overall,positive
the representative are very friendly and supportive,positive
the remote works well and is pleasantly compatible with the system.,neutral
the remote looks very similar to the original one. doesnt need any specific setup and is already tuned to the sony bravia led tv of ours.,neutral
the remote is working fine. i want to reset the airtel remote. how do i do it?,neutral
the remote is working fine for now but durability not sure as not as the original but does the job.,neutral
the remote is working fine,neutral
the remote is so far good and works smoothly with a slight click. no need to press too hard,neutral
the remote is not of a great quality though it does its work. sometimes it gets stuck and we need to wait for few seconds before the buttons work. the buttons are hard hence its not comfortable.,neutral
the remote is exact like the original one. but its not a universal remote. however,neutral
the remote is compatible with our tata sky box and does the job,neutral
the red light shows that the water is getting heated,positive
the red coating started peeling off. but device showed no problems. sound is clear,positive
the qubo 360 camera is great. i am able to set it up for my kittens whom i can be assured once i leave my house for some time. the best feature is the two way talk in which we can communicate via the camera itself.,positive
the quantity is little.,positive
the quality of wire and usb pin is good but it charge mobile little slow than the charger provided with mobile by oppo / real me / samsung.,positive
the quality of this piece is very good. the cable is almost as thick as a pilot pen (image attached) and there is no degradation in quality. ofcourse i am no professional and have not made any accurate measurements; just commenting on what it is like for a normal eye. if you need to run a long cable (6ft may not be long enough for living rooms in which case i think the 10ft one will be more helpful),positive
the quality of this batteries are really good. i used this batteries in wireless mouse and trimmer. in wireless mouse the batteries lasts for more than 7 days and in trimmer it lasts for 15 days. happy with the product and happy with the packaging and delivery standards of amazon.,positive
the quality of the tapes are as expected and they are really good. value for money. this is the best rate i could find here for a lint roller.,positive
the quality of the product is good and it's very easy to use. value for money.,positive
the quality of the buttons is average,neutral
the quality of sound is good but it's build quality. the wires are very delicate and prone to get bend and break,neutral
the quality of product is good,positive
the quality of material and stitching is good,positive
the quality of coffee maker is excellent a dm very ease on making coffee and getting served hot.,positive
the quality is really good!the pen for me it was a bit slipperybut the comfort was all righti recommend you to buy this product as it has value for money and it works smoothly and better than my imagination,positive
the quality is not upto mark for the price paid. other brands offer good quality earphones with lesser price. but per my experience none of my earphones have lasted more than 1-1.5 years.given that this is jbl,positive
the quality is not upto mark for the price paid. other brands offer good quality earphones with lesser price. but per my experience none of my earphones have lasted more than 1-1.5 years.given that this is jbl,positive
the quality is not upto mark for the price paid. other brands offer good quality earphones with lesser price. but per my experience none of my earphones have lasted more than 1-1.5 years.given that this is jbl,positive
the quality is good.,positive
the quality is excellent. refer to the installation video by scanning the qr code on the package; it is very easy to install using the guide stickers. the quality is good,positive
the quality and adhesion is good. instalation was pretty easy.what i would have liked1. had it had a black bezel so it blends well with the phone so that no one could make out that a protective tempered glass is stuck.2. had it also covered the front camera like the esr protective glass does,positive
the purpose of me using this is not for charging but as an attachment for a portable dac to mobile for iems.> build quality is really good.> ends are really premium.> transfers sound without as such without noticeable loss or additions.cannot comment on its durability. will update the same later.,positive
the product works well. we can use for quick fixes. option to use power adapter is very useful.cons: can't change direction of stitchcant stich fabric in middle if it's big.. only edges can be stitched comfortably.add ons,neutral
the product works very well. the support is also good. the product was not delivered with the required water inlet and outlet connecting pipe and 15a 3 pin electric plug. had to run around for procuring them. wish bajaj packaged this in the product.,neutral
the product works nice,positive
the product works good,positive
the product working  is well,positive
the product worked  fine for me. got this at good price,positive
the product worked  fine for me. got this at good price,positive
the product was very bad because curent pass in body so don't purches this product,neutral
the product was received without damaged and seal intact. coming on to the product i bought the jazzy blue sunburn edition.pros:battery is good,positive
the product was nice its charging awesome,positive
the product was nice its charging awesome,positive
the product was delivered on time and as promised by amazon.upon receiving the water heater,positive
the product suddenly stopped working completely today after about 4 months. the speed had deteriorated after one month of use.i use this product sparingly - about once every few days for frothing three / four cups of coffee. hence,neutral
the product seems and works good but it's not a fast  charging cable as it has to be and when all the three ports are connected its more slower i'm charging  only good is single cable all three ports are there so its a ok product only if yiu are looking for fast charging then i would say think twice before you buyi have been using foe a while now this is for sure not a fast charging cable and in this tge lightning charger is not working properly every now and then i have to check its it charging my iphone and i had to unplug and reply for charging its getting disconnected i don't understand how  so this cable is no ok,positive
the product seems and works good but it's not a fast  charging cable as it has to be and when all the three ports are connected its more slower i'm charging  only good is single cable all three ports are there so its a ok product only if yiu are looking for fast charging then i would say think twice before you buyi have been using foe a while now this is for sure not a fast charging cable and in this tge lightning charger is not working properly every now and then i have to check its it charging my iphone and i had to unplug and reply for charging its getting disconnected i don't understand how  so this cable is no ok,positive
the product really looks good and classy unless it was not damaged,neutral
the product quality is really amazing. the wire length is enough and it is a sturdy wire. it comes with one year warranty which makes it a good choice to have.,positive
the product quality is good.,neutral
the product quality is going down day by day,positive
the product packaging was good and clean. while assembling,positive
the product meets the requirements envisaged.,neutral
the product mechanism is like any other exhaust fan in the market. i realized that the size of the exhaust fan doesnt really have a noticeable impact on suction power of air.nonetheless,positive
the product looks original-like and is perfectly working with my oneplus 8t. good type-c to c buy,positive
the product looks original-like and is perfectly working with my oneplus 8t. good type-c to c buy,positive
the product looks exactly same like it's shown in pic,positive
the product is worth buying if you like making waffles in the breakfast or give a new texture to the sandwiches you make.,positive
the product is working smoothly with soft slight clicks. lookwise is stylish at some extent. handy in use,positive
the product is working good. and taking only 5 ms to cook the eggs i can rate by 4 out of 5,positive
the product is working fine. but at this price range there should be a temperature regulator. we are always using silicon spatula but the teflon coating is coming off on its own. product is functioning with in the described specifications,positive
the product is working fine as expected,positive
the product is very nice and good quality . after using so many days ithe product is not warm and also phone is not hang .so the is good at this price,positive
the product is very goodfits perfectlya little bit over priced,positive
the product is very good. keya are ergonomic. after using it for 2 months,neutral
the product is very good. easy to install and easy to use. the water spray jet is also good with movebale outlet.water comes out,positive
the product is very good for daily uses,neutral
the product is very good and user friendly. exactly as demonstrated in video,positive
the product is very big and heavy.  would have been better if it had li-ion batteries to save space and weight.  the product charges iphone about 50% in an hour,positive
the product is useful and i use it daily. i gave a 1 star less because product had a small piece broken while delivery maybe. but that was not a functional part though.,positive
the product is used for cooking in hostel. only use sponges to clean the utensil that comes with the cooker. don't modify it.use of excess water spoils the work. you can saute. vegetables for two minutes also. ideal for students living in hostel.,positive
the product is use to use and very light weight. the bowl is an add-on and the scale can be used without it as well.,positive
the product is upto my expectations,positive
the product is upto my expectations,positive
the product is so good.but i got cracke in chopper jar after using just two or three time.so let me know can i exchange it only chopper jar?,neutral
the product is so good for use.,positive
the product is smaller than it looked in picture,neutral
the product is simply adjustable and brightness is enough for a study tableease of userecommended for students,positive
the product is really good...small in size and very easy to use..easy to clean,positive
the product is really good.. helpful i daily kitchen work... take s less space.... i faced some difficulty with the machine and jars.. but tye same was handled very patiently and quickly by the customer service section... pooja was handling my complaint and within few minutes she dispatched a replacement product for my request.... she was really very helpful.. recommending this product for each and every kitchen queen....,positive
the product is really good but after written the words in pad it shows very lighter we can't able to see well.,neutral
the product is really good at affordable price.,positive
the product is really good at affordable price.,positive
the product is really good at affordable price.,positive
the product is quite small.. easy to learn and light weight.. working fine..the only sad thing is no warranty card given..machine cover also for machine is good.. the free kit is also good..,positive
the product is over all good,neutral
the product is okay. but this is my replaced product. it still is dirty inside on the bottom part. feels like an old product. the first product was also dirty and then i replaced and they keep sending me products with dirt on it!,positive
the product is ok but it is small more small than i expected. it's perfect for 1 or2 people. even my water bottle is taller.,positive
the product is not that good,positive
the product is not sturdy,neutral
the product is nice in its working. the only issue is handling product. there is no on/off button to start or stop the blender. i need to keep pressing a button to start and release a button to stop it.also,positive
the product is more like a toy for kids. can't use  it as a proper juicer. power back up is very poor.,neutral
the product is just ok,neutral
the product is handy and really feels good to hold. it supports fast charging.it takes around 5 to 6 hours to fully charged it.the only down side is that,positive
the product is great but its size isn't good. i'm not able to cook even 1 jumbo bread sandwich in it. the bread comes out of the griller,positive
the product is goodonly thing i didnt like is it does not stand and which irritates sometimes,positive
the product is good.following cons according to mecord length could be longer.the toaster doesnt closed fully. which is something that should be mentioned in the product description,positive
the product is good.delivery made in a beautiful way- nice packaging,positive
the product is good..,positive
the product is good. will require an additional y splitter cable.,positive
the product is good. easy to use it everyone.the dust bag may be alternative paper bag or provide additional bag for long stand use.,neutral
the product is good.,positive
the product is good quality as it can easily carry my laptop with charger and headphone. i was looking for such bag since long and the blue color is really appealing. the cloth material i liked because it is water repellent,positive
the product is good if offer is applied.,positive
the product is good for 4 members family. it takes 15 minutes to deliver hot water (temp set to 75%). i have checked that it keeps water temparature intact for 6 - 8 hours if not utilized. insstallation is eazy task. overall performance is good till date.,positive
the product is good but not for steam iron. water dripping outside of the iron box wetting the cloth.,neutral
the product is good but it lags a lot it was the same before but i thought since it is new over time this would get resolved but its still the same,positive
the product is good as usual. but it can helps to iron the lite fabrics. if you increase the heat the fabric is getting damaged easily. it is used to iron the shirts,positive
the product is good and installation was very good. the service providers behaviour was vry good overall very good experience,positive
the product is good ..my only complaint is regarding the cells..along with the machine,neutral
the product is good,positive
the product is good,positive
the product is durable and value of money.it's very good product in this range.the quality is good and the air blow output is best.,neutral
the product is delivered in 1st week of feb,positive
the product is definitely worth the price and keeps the laptop super cool. i am not a gamer and this review is not for a gaming pc. its very convenient for my office work. the cooling pad has an additional usb and it helps in case an additional usb port is required when using the cooling pad.,positive
the product is cool. value for money. love it,positive
the product is cool. value for money. love it,positive
the product is average for grilling . it tooks too much time .,positive
the product is as advertised- perfect fit and good quality . recommended to buy,positive
the product is amazing and easy to use,positive
the product is a looking good but not a good sound quality,neutral
the product is a good package. the bottle accompanied is a regular steel bottle and not a thermos. the kettle is very difficult to clean so better avoiding doing anything which stains it. the switch seemed to get jammed but with a little push it started to work again.,neutral
the product is a good one,neutral
the product is 5/5.,neutral
the product is 16 gauge pure copper multi thread wires. sound quality is impressive.bears a black band for +ve/-ve distinction,positive
the product in this price range is good but as it is running in android 12 it lags. i hope after few updates the lags problem will be resolved,positive
the product in this price range is good but as it is running in android 12 it lags. i hope after few updates the lags problem will be resolved,positive
the product in this price range is good but as it is running in android 12 it lags. i hope after few updates the lags problem will be resolved,positive
the product in this price range is good but as it is running in android 12 it lags. i hope after few updates the lags problem will be resolved,positive
the product in this price range is good but as it is running in android 12 it lags. i hope after few updates the lags problem will be resolved,positive
the product has good suction power & has easy functioning. the demo with priya of eureka forbes turned out to be great. she explained the functions very well. happy with the purchase!!,neutral
the product got delivered fast. it surely does work for the price you pay for it. does a good work of charging the iphones without any lags. i will recommend. in fact bought a couple of other products too after taking this cable.,positive
the product got delivered fast. it surely does work for the price you pay for it. does a good work of charging the iphones without any lags. i will recommend. in fact bought a couple of other products too after taking this cable.,positive
the product does what it is intended to do....however,positive
the product does its job really well. just feels a little heavy.,positive
the product discription says 400rpm but its a 380rpm fan,positive
the product correctly holds the echo dot as well as the cables without hindering the flat placement on the wall. the position of the holder can be shifted slightly as well (in terms of distance from the wall) because the holder can slide on the adapter. these are the biggest pros for the product as for the cons,positive
the product came well packed & is durable. infact much better than other organisations who try to sell you same stuff with inflated pricing. the product stays on for long and has all the qualities to be called a top product,positive
the product build quality good. using the product is very easy and after use cleaning is very easy too.... build quality is good and jars are nice..the first impression of the product is,neutral
the product arrived on time and in good condition.it is not only portable but also convenient as it uses a standard plug that can be plugged into normal 5amp sockets.i mostly just use it to heat my bathrooms as its a low wattage heater and thus can only work well in tiny spaces.important! if using in bathroom,positive
the product appears cheap but works alright. as you might know from the product description,neutral
the product and its features are really good and self explaining. also,neutral
the procduct is handy and light weight. also you can use ti in bed easily.,positive
the printer is good for personal use. it's working fine till now. it's easy to use. print quality is also good. scanning is easy and it's image is fine. canon product quality is good to say.,neutral
the printer is compact and gets the job done. no concerns regarding the time taken or the print quality. the only markdown for this product is the setup. the user manual is brief and doesn't explain how to setup the printer wirelessly or by usb. we spent a good hour having to look through the online manual and you tube videos to understand how this was configured and through trial and error,neutral
the printer came loosely put into the hp printer box without any of the usual styrofoam packing. it was rattling in the box before being opened.after a couple of days of very light use,neutral
the pricing is good,positive
the price is also reasonable overall a great product by inalsa.,neutral
the price doesnt fall under 10 for them.if you are buying for lots of photos/videos,positive
the price doesnt fall under 10 for them.if you are buying for lots of photos/videos,positive
the price doesnt fall under 10 for them.if you are buying for lots of photos/videos,positive
the previous one wouldnt align with the cover in place. adhesion of the first one gave up as soon as i tried to lift and reapply,positive
the press doesn't work perfectly but does the job. size is small,positive
the power adjusting buttons are great.froths in only two minutes. one charge can hold up to 12 times od frothing! totally worth the price!!,neutral
the portable geyser is awesome and i used today the whole day  and in 9 degree temperature if u get continous running hot water in kitchen nothing is best,neutral
the pm level went up as soon as the cooking started and the purifier automatically switched to higher speed and brought it down. during karthigy,positive
the plug provided with the machine for power connection is of poor quality. it is loose when plugged into an electric socket. one quality should be improved. as it is,positive
the plug is not supported in the sockets which is used in our houses. need to buy another socket of 16amp to make this product usable. otherwise it will be of no use.,positive
the plastic clips were half opened and the box looked like it was opened,neutral
the picture quality is crap!! tbh,neutral
the picture and sound quality was okay,positive
the phone serves all my purpose..very good one,neutral
the phone is not very effeciently responsive. battery runs low even when not used in 1 day. finger pring does not work well - need a couple of tries to open.,neutral
the performance is good though bit noisy. look wise it is very cheap. not shiny as shown in the pic and looks very cheap. no power indicator light provided.,neutral
the pendrive is good enough. but don't have a higher expectation from this pendrive. it gets heated after when transferring a file and the speed also reduces drastically.if you are looking for a high speed pendrive then this is not for youfor normal uses it is good enough,positive
the pen has a black body but blue jotter refill in it. the blue jotter writes awfully,positive
the packaging was very nice. there was a microfibre cloth in the box,positive
the packaging was open and not sealed when i recieved it. the seller is a fraud.,positive
the package was not done with amazon packaging but like a gunny bag type pack.  not expected. very poorly haphazard packing.  will any body look into this?,positive
the package arrived a days early and it is a great product for the price its is very  sturdyand looks of good quality,positive
the package arrived a days early and it is a great product for the price its is very  sturdyand looks of good quality,positive
the overall quality of product is good.but please mention that we have to use electric cell and how much to use,positive
the output,positive
the output,positive
the other reviews say that the volume is too low but it is not at all like that it is pretty good,positive
the other is different and not compatible with my unit. so essentially my money for the other is wasted because the return window was over.,positive
the os has lags after about a year of use. this is the best you can get for the price tag it comes with.,positive
the os has lags after about a year of use. this is the best you can get for the price tag it comes with.,positive
the original seagate had is very thick and sturdy.  at the end speed matters.so if u have like 2 or 4tb external hard drive it will load slowly after connecting,positive
the only reason i bought this product is it's country of origin is india as compared to its competitors. but they have mentioned it wrong in the description. i'm not complaining the product but they should have mentioned correct information,positive
the only problem with this kettle is that you have to restart again and again,positive
the only issue was the metal pin is not fixed firmly so it has become loose,neutral
the only issue was the metal pin is not fixed firmly so it has become loose,neutral
the only issue was the metal pin is not fixed firmly so it has become loose,neutral
the only issue was the metal pin is not fixed firmly so it has become loose,neutral
the only issue was the metal pin is not fixed firmly so it has become loose,neutral
the only issue is that the built quality is very poor. it broke on 2nd use. rest the adhesion is good.,neutral
the only issue is stability.... it do shakes,positive
the only drawback it has is missing power indicator,positive
the one thing i liked is its work very well and is really easy to install... but i did expected it to be little more big but the size is small,neutral
the one i got with the mixer grinder lasted only for 8-9 months,positive
the notebook is super,positive
the noise level is too much hope they made a device with noise level low,positive
the nice product and light weight very easy usable product,positive
the mouse looks good,positive
the mouse is working perfectly,positive
the mouse is smooth only after you twitch the mouse settings in windows settings and only on smooth surfaces.  on a computer mat it would be a little jumpy and rough.  only wish the mouse was a bit larger.,neutral
the mouse is decent for its price of 269i don't usually use windows i'm using this on my linux os and its works fine on arch linux so i'm sure it will work fine on any debian-based distro as well.first impression - the size is a bit smaller so it will take time to get used to it the scroll wheel is little wobbly buttons travel of the button is bit too much considering its small form factor*i will update my review after using it*,positive
the mouse is as per my expectations and really it's working smoothly and not making a tik sound like any other mouse. otg given with the mouse is not working.,positive
